"","locname","latitude","longitude","NOAA_ID","NOAA_NAME","NEAR_Y","NEAR_X","NEAR_DIST"
"683","11523000",41.30346,-123.534504,"USC00046508","ORLEANS",41.3089,-123.5317,0.648661008656534
"684","11530500",41.510954,-123.979516,"USC00044577","KLAMATH",41.5786,-124.0747,10.9237429425435
"685","12039500",47.457586,-123.889345,"USC00450158","AMANDA PARK",47.4667,-123.8833,1.11065664445006
"686","12056500",47.514257,-123.329887,"USC00451934","CUSHMAN DAM",47.4239,-123.2197,13.0209258821844
"687","12114500",47.342054,-121.548986,"USS0021B21S","Mount Gardner",47.36,-121.57,2.54719783372423
"688","12115000",47.370107,-121.625101,"USS0021B21S","Mount Gardner",47.36,-121.57,4.29941895991504
"689","12115500",47.350662,-121.663158,"USS0021B21S","Mount Gardner",47.36,-121.57,7.0938976334608
"690","12116400",47.418714,-121.781498,"USC00451233","CEDAR LAKE",47.4144,-121.7561,1.97027087115112
"691","12116500",47.417047,-121.792054,"USC00451233","CEDAR LAKE",47.4144,-121.7561,2.72124088471445
"692","12117000",47.386491,-121.846222,"USC00451233","CEDAR LAKE",47.4144,-121.7561,7.45920015438559
"693","12117600",47.379546,-121.983448,"USC00454486","LANDSBURG",47.3767,-121.9614,1.69002876502355
"694","12137290",47.947326,-121.626783,"USC00458034","STARTUP 1 E",47.8664,-121.7175,11.2559781896632
"695","12137800",47.959268,-121.797345,"USC00458034","STARTUP 1 E",47.8664,-121.7175,11.9183769004953
"696","12138160",47.907324,-121.815399,"USC00458034","STARTUP 1 E",47.8664,-121.7175,8.60220030640012
"697","12147500",47.712324,-121.788727,"USC00458508","TOLT S FK RSVR",47.7,-121.6908,7.4545953804198
"698","12147600",47.706771,-121.600107,"USS0021B60S","Skookum Creek",47.68,-121.61,3.067505385796
"699","12148000",47.689269,-121.713446,"USC00458508","TOLT S FK RSVR",47.7,-121.6908,2.07279843733749
"700","12148300",47.696768,-121.787338,"USC00458508","TOLT S FK RSVR",47.7,-121.6908,7.23363333670917
