STAID_edt,DRAIN_SQKM,LAT_GAGE,LNG_GAGE,locname,NOAA_ID,NEAR_Y,NEAR_X,NEAR_DIST,NIDID,LONGITUDE,LATITUDE,RIVER,DISTANCE,PRIVATE_DA,DAM_TYPE,CORE,FOUNDATION,PURPOSES,YEAR_COMPL,YEAR_MODIF,DAM_LENGTH,DAM_HEIGHT,STRUCTURAL,HYDRAULIC_,NID_HEIGHT,MAX_DISCHA,MAX_STORAG,NORMAL_STO,NID_STORAG,SURFACE_AR,DRAINAGE_A,HAZARD,EAP,VOLUME,Distance_1,PstSplnCnt,pstRcrdCnt,pstP90,pstP90Cnt,pstP50,pstP10,pstP10Cnt,pstTmax,pstTmin,pstTmean,pstTmaxT,pstTminT,pstCoolRt,pstWarmRt,pstCffcntV,pstP25cnt,pstP75cnt,NOAA_TmaxT,NOAA_TminT,Lag_TmaxT,Lag_TminT,NOAARcrdCn,NOAASplnCn,Ref,Clim_Reg
STAID06036905,676.9,44.62021,-110.86299,6036905,USC00483595,44.5667,-110.8167,6.988409079,WY01157,-110.8977777,44.57638889,BEAVER CREEK,15,N,RE,HEK,SZ,I,1946, ,235,40,40,35,40,0,184,132,184,9,0,L,NR,21190,5518.91865,366,18,20.39353559,0.172131148,14.36679945,8.340063303,0.040983607,23.04476482,7.547116049,14.36679945,201,365,-0.106675249,0.081653156,0.327330191,0.325136612,0.256830601,NA,NA,NA,NA,NA,365,1,Northern Rockies
STAID06037500,1126.2,44.656872,-111.068274,6037500,USC00248858,44.6567,-111.0903,1.74227928,WY01148,-111.015,44.715,ALKALI CREEK,34,N,RE,HEK,SZ,IP,1950, ,685,36,36,31,36,0,114,66,114,8,5,L,NR,25420,7582.36368,366,6,18.39579638,0.147540984,10.96806382,3.540331273,0.051912568,20.33838582,0.197202811,10.96806382,187,0,-0.120373553,0.104395378,0.528433331,0.338797814,0.292349727,201,0,NA,NA,NA,366,1,Northern Rockies
STAID06038500,2412,44.866593,-111.338288,6038500,USC00244038,44.8667,-111.3392,0.072852353,MT00134,-111.3354,44.8623,MADISON RIVER,55,N,RE, , ,CHRS,1915, ,721,88,120,75,120,4400,525620,386000,525620,13000,905,H,Y,0,524.1727871,366,11,16.03883301,0.193989071,8.278502789,0.51817257,0,18.09114389,2.319456764,8.278502789,205,349,-0.127932803,0.124861512,0.731462923,0.448087432,0.31420765,201,0,4,16,18,366,0,Northern Rockies
STAID06041000,5729.3,45.490206,-111.634138,6041000,USC00246157,45.4875,-111.6336,0.303802133,MT00561,-111.6374,45.47,MADISON RIVER,34,N,TC, , ,CHRS,1907,1970,257,39,38,33,39,7700,42053,41917,42053,3900,2181,H,Y,0,2259.130905,366,19,18.21181483,0.172131148,9.119286698,0.026758566,0,21.52831842,1.029148435,9.119286698,204,365,-0.157721397,0.141571221,0.778014513,0.387978142,0.303278689,200,0,4,0,19,366,0,Northern Rockies
STAID06043500,2120.4,45.497429,-111.270511,6043500,USR0000MSQU,45.4511,-111.2189,6.537066321,MT03804,-111.3511043,45.50165818,GREEN HOLLOW CREEK,9,N,RE, ,SZ,R,1990, ,680,45,0,38,45,4100,300,174,300,15,4,H,Y,0,5944.914863,365,4,12.28168828,0.183561644,6.261237633,0.240786988,0,15.046529,0.47140716,6.261237633,202,359,-0.108192472,0.081040141,0.750296167,0.369863014,0.24109589,200,365,NA,NA,NA,366,1,Northern Rockies
STAID06054500,38074.7,46.14604,-111.42052,6054500,USC00248314,46.1667,-111.4667,4.234326228,MT00016,-111.4073,46.1201,MISSOURI RIVER,5,N,CNPG, , ,HI,1940,1989,705,24,50,47,50,68900,6460,4100,6460,327,14660,H,Y,0,3040.578822,366,19,19.15031042,0.158469945,9.378018286,-0.394273845,0,22.25495108,0.12150203,9.378018286,203,365,-0.167097277,0.141405387,0.813109959,0.355191257,0.300546448,NA,NA,NA,NA,NA,NA,0,Northern Rockies
STAID06066500,43985.2,46.994665,-112.011111,6066500,USC00244241,46.9908,-112.0117,0.432083932,MT00559,-112.0035,46.9913,MISSOURI RIVER,8,N,PG, , ,CH,1918, ,1364,124,124,120,124,110000,306000,245000,306000,4550,17150,H,Y,0,662.9210285,366,19,16.82332755,0.166666667,8.912689216,1.002050878,0,17.99808973,1.107405581,8.912689216,217,365,-0.131960194,0.120044066,0.692574793,0.360655738,0.327868852,200,365,17,0,19,366,0,Northern Rockies
STAID06073500,834.6,47.199112,-112.096394,6073500,USR0000MGOL,47.2417,-112.0917,4.748819551,MT03290,-112.0818,47.1569,TR-DEARBORN RIVER,17,N,RE, , ,I,1940, ,40,15,0,15,15,0,145,43,145,0,0,L,NR,0,4808.40145,365,19,16.19479079,0.178082192,7.961078368,-0.272634056,0,19.04375576,0.096433956,7.961078368,209,364,-0.14615253,0.11595681,0.80702634,0.350684932,0.282191781,206,365,NA,NA,NA,366,1,Northern Rockies
STAID06077200,2816.5,46.828005,-111.192174,6077200,USC00248936,46.8333,-111.2,0.837325263,MT03604,-111.2635,46.7565,TR-DRY BEAVER CREEK,22,N,RE, , ,P,1950, ,300,20,0,20,20,0,57,29,57,0,0,L,NR,0,9462.370353,366,18,15.84430725,0.177595628,7.233204749,-1.377897754,0,19.24734473,-0.040597608,7.233204749,201,365,-0.14783652,0.13439555,0.928949092,0.382513661,0.286885246,NA,NA,NA,NA,NA,NA,0,Northern Rockies
STAID06085800,3356.7,47.50245,-111.932494,6085800,USC00243195,47.5,-111.8,9.956735457,MT03531,-111.9547,47.441,CROWN BUTTE CREEK,24,N,RE, , ,P,1953, ,200,10,0,10,10,0,62,32,62,0,0,L,NR,0,7012.763786,366,14,17.64664665,0.163934426,8.545290236,-0.556066175,0,20.87426148,-0.021733258,8.545290236,204,365,-0.158346292,0.129994234,0.831080741,0.344262295,0.281420765,NA,NA,NA,NA,NA,NA,0,Northern Rockies
