"","agency_cd","site_no","Date","UPSTREAM_Wtemp","UPSTREAM_Wtemp_cd","FLOATING_Wtemp","FLOATING_Wtemp_cd","Flow","Flow_cd"
"207","USGS","02292900",2014-11-25,24,"A",NA,NA,944,"A"
"208","USGS","02292900",2014-11-26,22.5,"A",NA,NA,1330,"A"
"209","USGS","02292900",2014-11-27,21.2,"A",NA,NA,900,"A"
"210","USGS","02292900",2014-11-28,20.5,"A",NA,NA,1400,"A"
"211","USGS","02292900",2014-11-29,20.2,"A",NA,NA,1830,"A"
"212","USGS","02292900",2014-11-30,20.3,"A",NA,NA,1790,"A"
"213","USGS","02292900",2014-12-01,20.4,"A",NA,NA,1340,"A"
"214","USGS","02292900",2014-12-02,20.7,"A",NA,NA,728,"A"
"215","USGS","02292900",2014-12-03,20.9,"A",NA,NA,974,"A"
"216","USGS","02292900",2014-12-04,21.1,"A",NA,NA,1000,"A"
"217","USGS","02292900",2014-12-05,21.3,"A",NA,NA,1270,"A"
"218","USGS","02292900",2014-12-06,21.6,"A",NA,NA,2050,"A"
"219","USGS","02292900",2014-12-07,21.6,"A",NA,NA,1910,"A"
"220","USGS","02292900",2014-12-08,21.4,"A",NA,NA,1400,"A"
"221","USGS","02292900",2014-12-09,21.1,"A",NA,NA,1210,"A"
"222","USGS","02292900",2014-12-10,20.5,"A",NA,NA,1010,"A"
"223","USGS","02292900",2014-12-11,20.2,"A",NA,NA,565,"A"
"224","USGS","02292900",2014-12-12,19.8,"A",NA,NA,1400,"A"
"225","USGS","02292900",2014-12-13,19.6,"A",NA,NA,2050,"A"
"226","USGS","02292900",2014-12-14,19.5,"A",NA,NA,1980,"A"
"227","USGS","02292900",2014-12-15,19.2,"A",NA,NA,1360,"A"
"228","USGS","02292900",2014-12-16,18.9,"A",NA,NA,1170,"A"
"229","USGS","02292900",2014-12-17,18.8,"A",NA,NA,1000,"A"
"230","USGS","02292900",2014-12-18,18.8,"A",NA,NA,627,"A"
"231","USGS","02292900",2014-12-19,19.1,"A",NA,NA,1300,"A"
"232","USGS","02292900",2014-12-20,19.5,"A",NA,NA,1870,"A"
"233","USGS","02292900",2014-12-21,19.8,"A",NA,NA,1900,"A"
"234","USGS","02292900",2014-12-22,20.5,"A",NA,NA,1290,"A"
"235","USGS","02292900",2014-12-23,21.1,"A",NA,NA,1070,"A"
"236","USGS","02292900",2014-12-24,21.6,"A",NA,NA,837,"A"
"237","USGS","02292900",2014-12-25,21.3,"A",NA,NA,894,"A"
"238","USGS","02292900",2014-12-26,20.8,"A",NA,NA,1600,"A"
"239","USGS","02292900",2014-12-27,20.9,"A",NA,NA,2010,"A"
"240","USGS","02292900",2014-12-28,21.1,"A",NA,NA,2230,"A"
"241","USGS","02292900",2014-12-29,21.4,"A",NA,NA,1510,"A"
"242","USGS","02292900",2014-12-30,21.3,"A",NA,NA,1120,"A"
"243","USGS","02292900",2014-12-31,21.6,"A",NA,NA,919,"A"
"244","USGS","02292900",2015-01-01,22.1,"A",NA,NA,618,"A"
"245","USGS","02292900",2015-01-02,22.4,"A",NA,NA,1370,"A"
"246","USGS","02292900",2015-01-03,22.4,"A",NA,NA,1870,"A"
"247","USGS","02292900",2015-01-04,22.6,"A",NA,NA,1950,"A"
"248","USGS","02292900",2015-01-05,22.5,"A",NA,NA,1480,"A"
"249","USGS","02292900",2015-01-06,22.4,"A",NA,NA,1100,"A"
"250","USGS","02292900",2015-01-07,22,"A",NA,NA,901,"A"
"251","USGS","02292900",2015-01-08,21.2,"A",NA,NA,615,"A"
"252","USGS","02292900",2015-01-09,20.8,"A",NA,NA,1430,"A"
"253","USGS","02292900",2015-01-10,20.6,"A",NA,NA,2160,"A"
"254","USGS","02292900",2015-01-11,20.8,"A",NA,NA,1980,"A"
"255","USGS","02292900",2015-01-12,20.9,"A",NA,NA,1580,"A"
"256","USGS","02292900",2015-01-13,21.4,"A",NA,NA,1180,"A"
"257","USGS","02292900",2015-01-14,21.4,"A",NA,NA,930,"A"
"258","USGS","02292900",2015-01-15,21.1,"A",NA,NA,567,"A"
"259","USGS","02292900",2015-01-16,20.8,"A",NA,NA,1390,"A"
"260","USGS","02292900",2015-01-17,20.7,"A",NA,NA,1920,"A"
"261","USGS","02292900",2015-01-18,20.7,"A",NA,NA,1840,"A"
"262","USGS","02292900",2015-01-19,20.6,"A",NA,NA,1410,"A"
"263","USGS","02292900",2015-01-20,20.3,"A",NA,NA,1040,"A"
"264","USGS","02292900",2015-01-21,20.9,"A",NA,NA,866,"A"
"265","USGS","02292900",2015-01-22,21.1,"A",NA,NA,562,"A"
"266","USGS","02292900",2015-01-23,21,"A",NA,NA,1290,"A"
"267","USGS","02292900",2015-01-24,20.7,"A",NA,NA,2030,"A"
"268","USGS","02292900",2015-01-25,20.2,"A",NA,NA,2120,"A"
"269","USGS","02292900",2015-01-26,19.7,"A",NA,NA,1500,"A"
"270","USGS","02292900",2015-01-27,19.4,"A",NA,NA,1260,"A"
"271","USGS","02292900",2015-01-28,19.3,"A",NA,NA,952,"A"
"272","USGS","02292900",2015-01-29,19.2,"A",NA,NA,600,"A"
"273","USGS","02292900",2015-01-30,19.2,"A",NA,NA,1700,"A"
"274","USGS","02292900",2015-01-31,19.1,"A",NA,NA,2250,"A"
"275","USGS","02292900",2015-02-01,19.2,"A",NA,NA,1910,"A"
