"","agency_cd","site_no","Date","UPSTREAM_Wtemp","UPSTREAM_Wtemp_cd","FLOATING_Wtemp","FLOATING_Wtemp_cd"
"250","USGS","02292900",2015-01-07,22,"A",NA,NA
"251","USGS","02292900",2015-01-08,21.2,"A",NA,NA
"252","USGS","02292900",2015-01-09,20.8,"A",NA,NA
"253","USGS","02292900",2015-01-10,20.6,"A",NA,NA
"254","USGS","02292900",2015-01-11,20.8,"A",NA,NA
"255","USGS","02292900",2015-01-12,20.9,"A",NA,NA
"256","USGS","02292900",2015-01-13,21.4,"A",NA,NA
"257","USGS","02292900",2015-01-14,21.4,"A",NA,NA
"258","USGS","02292900",2015-01-15,21.1,"A",NA,NA
"259","USGS","02292900",2015-01-16,20.8,"A",NA,NA
"260","USGS","02292900",2015-01-17,20.7,"A",NA,NA
"261","USGS","02292900",2015-01-18,20.7,"A",NA,NA
"262","USGS","02292900",2015-01-19,20.6,"A",NA,NA
"263","USGS","02292900",2015-01-20,20.3,"A",NA,NA
"264","USGS","02292900",2015-01-21,20.9,"A",NA,NA
"265","USGS","02292900",2015-01-22,21.1,"A",NA,NA
"266","USGS","02292900",2015-01-23,21,"A",NA,NA
"267","USGS","02292900",2015-01-24,20.7,"A",NA,NA
"268","USGS","02292900",2015-01-25,20.2,"A",NA,NA
"269","USGS","02292900",2015-01-26,19.7,"A",NA,NA
"270","USGS","02292900",2015-01-27,19.4,"A",NA,NA
"271","USGS","02292900",2015-01-28,19.3,"A",NA,NA
"272","USGS","02292900",2015-01-29,19.2,"A",NA,NA
"273","USGS","02292900",2015-01-30,19.2,"A",NA,NA
"274","USGS","02292900",2015-01-31,19.1,"A",NA,NA
"275","USGS","02292900",2015-02-01,19.2,"A",NA,NA
"276","USGS","02292900",2015-02-02,19.3,"A",NA,NA
"277","USGS","02292900",2015-02-03,19,"A",NA,NA
"278","USGS","02292900",2015-02-04,19.1,"A",NA,NA
"279","USGS","02292900",2015-02-05,19.2,"A",NA,NA
"280","USGS","02292900",2015-02-06,19,"A",NA,NA
"281","USGS","02292900",2015-02-07,19,"A",NA,NA
"282","USGS","02292900",2015-02-08,19.1,"A",NA,NA
"283","USGS","02292900",2015-02-09,19.2,"A",NA,NA
"284","USGS","02292900",2015-02-10,19,"A",NA,NA
"285","USGS","02292900",2015-02-11,18.9,"A",NA,NA
"286","USGS","02292900",2015-02-12,18.8,"A",NA,NA
"287","USGS","02292900",2015-02-13,18.8,"A",NA,NA
"288","USGS","02292900",2015-02-14,18.5,"A",NA,NA
"289","USGS","02292900",2015-02-15,18.8,"A",NA,NA
"290","USGS","02292900",2015-02-16,19,"A",NA,NA
"291","USGS","02292900",2015-02-17,19.4,"A",NA,NA
"292","USGS","02292900",2015-02-18,19.4,"A",NA,NA
"293","USGS","02292900",2015-02-19,18.7,"A",NA,NA
"294","USGS","02292900",2015-02-20,18.2,"A",NA,NA
"295","USGS","02292900",2015-02-21,18.1,"A",NA,NA
"296","USGS","02292900",2015-02-22,18.8,"A",NA,NA
"297","USGS","02292900",2015-02-23,19.4,"A",NA,NA
